Time,Channel A,Channel B
(us),(V),(V)

0.30929405,0.00000000,2.99489400
0.31129405,0.00000000,3.03887800
0.31329405,0.00000000,2.99489400
0.31529405,0.00000000,3.03887800
0.31729405,0.00000000,2.99489400
0.31929405,0.00000000,2.99489400
0.32129405,0.00000000,2.99489400
0.32329405,0.00000000,3.03887800
0.32529405,0.00000000,2.99489400
0.32729405,0.00000000,2.99489400
0.32929405,0.00000000,2.99489400
0.33129405,0.00000000,3.03887800
0.33329405,0.00000000,3.03887800
0.33529405,0.04429134,2.99489400
0.33729405,0.00000000,2.99489400
0.33929405,0.00000000,2.99489400
0.34129405,0.00000000,3.03887800
0.34329405,0.00000000,2.99489400
0.34529405,0.00000000,2.99489400
0.34729405,0.00000000,2.99489400
0.34929405,0.00000000,3.03887800
0.35129405,0.00000000,2.99489400
0.35329405,0.00000000,2.99489400
0.35529405,0.00000000,2.99489400
0.35729405,0.00000000,2.99489400
0.35929405,0.00000000,2.99489400
0.36129405,0.00000000,3.03887800
0.36329405,0.00000000,2.99489400
0.36529405,0.00000000,2.99489400
0.36729405,0.00000000,2.99489400
0.36929405,0.00000000,2.99489400
0.37129405,0.00000000,2.99489400
0.37329405,0.04429134,3.03887800
0.37529405,0.00000000,3.03887800
0.37729405,0.00000000,2.99489400
0.37929405,0.00000000,2.99489400
0.38129405,0.00000000,2.99489400
0.38329405,0.04429134,3.03887800
0.38529405,0.04429134,2.99489400
0.38729405,0.00000000,2.99489400
0.38929405,0.00000000,3.03887800
0.39129405,0.00000000,2.99489400
0.39329405,0.04429134,2.99489400
0.39529405,0.00000000,2.99489400
0.39729405,0.04429134,3.03887800
0.39929405,0.00000000,2.99489400
0.40129405,0.00000000,3.03887800
0.40329405,0.00000000,2.99489400
0.40529405,0.00000000,2.99489400
0.40729405,0.00000000,3.03887800
0.40929405,0.00000000,3.03887800
0.41129405,0.00000000,2.99489400
0.41329405,0.00000000,2.99489400
0.41529405,0.00000000,2.99489400
0.41729405,0.00000000,2.99489400
0.41929405,0.00000000,3.03887800
0.42129405,0.00000000,3.03887800
0.42329405,0.00000000,2.99489400
0.42529405,0.00000000,3.03887800
0.42729405,0.04429134,3.03887800
0.42929405,0.00000000,2.99489400
0.43129405,0.00000000,2.99489400
0.43329405,0.00000000,3.03887800
0.43529405,0.00000000,3.03887800
0.43729405,0.04429134,2.99489400
0.43929405,0.04429134,2.99489400
0.44129405,0.00000000,3.03887800
0.44329405,0.00000000,3.03887800
0.44529405,0.00000000,2.99489400
0.44729405,0.00000000,2.99489400
0.44929405,0.00000000,2.99489400
0.45129405,0.04429134,3.03887800
0.45329405,0.00000000,2.99489400
0.45529405,0.00000000,3.03887800
0.45729405,0.00000000,3.03887800
0.45929405,0.00000000,2.99489400
0.46129405,0.04429134,2.99489400
0.46329405,0.00000000,3.03887800
0.46529405,0.00000000,2.99489400
0.46729405,0.00000000,3.03887800
0.46929405,0.04429134,2.99489400
0.47129405,0.04429134,3.03887800
0.47329405,0.04429134,3.03887800
0.47529405,0.00000000,3.03887800
0.47729405,0.04429134,2.99489400
0.47929405,0.00000000,2.99489400
0.48129405,0.04429134,2.99489400
0.48329405,0.00000000,2.99489400
0.48529405,0.00000000,2.99489400
0.48729405,0.00000000,2.99489400
0.48929405,0.04429134,2.99489400
0.49129405,0.00000000,2.99489400
0.49329405,0.04429134,2.99489400
0.49529405,0.00000000,3.03887800
0.49729405,0.00000000,3.03887800
0.49929405,0.04429134,2.99489400
0.50129405,0.00000000,3.03887800
0.50329405,0.00000000,2.99489400
0.50529405,0.04429134,2.99489400
0.50729405,0.04429134,2.99489400
0.50929405,0.00000000,3.03887800
0.51129405,0.04429134,2.99489400
0.51329405,0.00000000,3.03887800
0.51529405,0.00000000,2.99489400
